Thoi Gian,File Anh,Noi Dung Doc Duoc,Do Tu Tin Trung Binh
10:51:30,scan_20260617_105130.jpg,dro | mapp,97.5%
10:51:32,scan_20260617_105132.jpg,n g | ape,78.1%
10:51:35,scan_20260617_105135.jpg,n g | dcam.app,93.3%
10:51:39,scan_20260617_105139.jpg,n g | idcam.app,96.3%
10:51:41,scan_20260617_105141.jpg,roidcam.app,99.5%
10:51:47,scan_20260617_105147.jpg,ng droide | im.ap,88.5%
10:51:59,scan_20260617_105159.jpg,droi,97.9%
10:52:01,scan_20260617_105201.jpg,n g,94.4%
10:52:05,scan_20260617_105205.jpg,n g | dro | dcam.app,94.0%
10:52:07,scan_20260617_105207.jpg,n g,89.8%
10:52:09,scan_20260617_105209.jpg,n g,88.5%
10:52:11,scan_20260617_105211.jpg,n g | idcam.app | 424.45,93.4%
10:52:13,scan_20260617_105213.jpg,n g | L2445,82.2%
10:52:15,scan_20260617_105215.jpg,ng- | L2L45,76.1%
10:52:17,scan_20260617_105217.jpg,EZLES,71.6%
10:52:21,scan_20260617_105221.jpg,424.45,95.6%
10:52:23,scan_20260617_105223.jpg,22-F1 | 424.45,83.1%
10:52:33,scan_20260617_105233.jpg,72-01 | 328.47,86.3%
10:52:35,scan_20260617_105235.jpg,2-01,92.7%
10:52:37,scan_20260617_105237.jpg,app,98.8%
10:52:39,scan_20260617_105239.jpg,n g,80.3%
10:52:41,scan_20260617_105241.jpg,n g,75.9%
10:52:43,scan_20260617_105243.jpg,n g,74.7%
10:52:45,scan_20260617_105245.jpg,n g,75.1%
10:52:47,scan_20260617_105247.jpg,n g,73.5%
10:52:50,scan_20260617_105250.jpg,n g,73.5%
10:52:52,scan_20260617_105252.jpg,n g,73.5%
10:55:20,scan_20260617_105520.jpg,61-01 | 793.05,97.7%
10:55:22,scan_20260617_105522.jpg,61-01 | 793.05,95.6%
10:55:24,scan_20260617_105524.jpg,61-01 | 793.05,95.1%
10:55:28,scan_20260617_105528.jpg,61-01 | 793.05,97.6%
10:55:30,scan_20260617_105530.jpg,61-01 | 793.05,94.5%
10:55:32,scan_20260617_105532.jpg,61-01 | 793.05,94.2%
10:55:37,scan_20260617_105537.jpg,61-01 | 793.05 | 50-AE | 824.97,96.2%
10:55:38,scan_20260617_105538.jpg,61-D1 | 793.05 | 50-AE | 824.97,98.4%
10:55:40,scan_20260617_105540.jpg,61-01 | 793.05 | 50-AE | 824.97,96.8%
10:55:45,scan_20260617_105545.jpg,HONDA | 61-D1 | 780.20,93.2%
10:55:46,scan_20260617_105546.jpg,61-D1 | 780.20,97.5%
10:55:49,scan_20260617_105549.jpg,61-D1 | 780.20,97.8%
10:55:51,scan_20260617_105551.jpg,61-D1 | 780.20,95.8%
10:56:27,scan_20260617_105627.jpg,LAUFAE | 824.37,76.1%
10:56:29,scan_20260617_105629.jpg,7AO-AE | 824.97,84.2%
10:56:31,scan_20260617_105631.jpg,793.0510 | 50-AE | 824.97,95.1%
10:56:33,scan_20260617_105633.jpg,793.050 | 50-AE | 824.97,98.0%
10:56:35,scan_20260617_105635.jpg,793.056 | 50-AE | 824.97,95.3%
10:56:37,scan_20260617_105637.jpg,793.056 | 50-AE | 824.97,97.5%
10:56:39,scan_20260617_105639.jpg,793.056 | 50-AE | 824.97,96.8%
10:56:41,scan_20260617_105641.jpg,793.0 | 50-AE | 824.97,99.1%
10:56:43,scan_20260617_105643.jpg,61-07 | 793.05. | 50-AE | 824.97,95.4%
10:56:45,scan_20260617_105645.jpg,793.05 | 50-AE | 824.97,96.8%
10:56:47,scan_20260617_105647.jpg,50-AE | 824.97,99.0%
10:56:49,scan_20260617_105649.jpg,50-AE | 824.97,98.8%
10:56:51,scan_20260617_105651.jpg,61P01,55.8%
10:56:53,scan_20260617_105653.jpg,61-D1 | 780.20,96.6%
10:56:55,scan_20260617_105655.jpg,61-D1 | 780.20,98.7%
10:56:57,scan_20260617_105657.jpg,61-D1 | 780.20,97.9%
10:56:59,scan_20260617_105659.jpg,61-D1 | 780.20,95.4%
10:57:01,scan_20260617_105701.jpg,61-D1 | 780.20,94.7%
10:57:03,scan_20260617_105703.jpg,61-D1 | 780.20,94.1%
10:57:05,scan_20260617_105705.jpg,61-01 | 780.20,93.6%
10:57:07,scan_20260617_105707.jpg,61-D1 | 780.20,92.2%
10:57:40,scan_20260617_105740.jpg,61-01 | 780.20,94.1%
10:57:42,scan_20260617_105742.jpg,61-D1 | 780.20,95.8%
10:57:44,scan_20260617_105744.jpg,61-D1 | 780.20,93.4%
10:57:46,scan_20260617_105746.jpg,61-D1 | 780.20,94.8%
10:57:48,scan_20260617_105748.jpg,61-01 | 780.20,93.9%
10:57:50,scan_20260617_105750.jpg,61-D1 | 780.20,92.2%
10:57:52,scan_20260617_105752.jpg,161-01 | 780.20,93.4%
10:57:54,scan_20260617_105754.jpg,61-01 | 80.20,93.6%
10:57:56,scan_20260617_105756.jpg,61-01 | 780.20,90.7%
10:57:58,scan_20260617_105758.jpg,61-01 | 780.20,87.5%
10:58:00,scan_20260617_105800.jpg,61-01 | 780.20,93.4%
10:58:02,scan_20260617_105802.jpg,61-01 | 780.20,95.4%
10:58:04,scan_20260617_105804.jpg,61-01 | 780.20,97.0%
10:58:06,scan_20260617_105806.jpg,61-01 | 780.20,93.4%
10:58:08,scan_20260617_105808.jpg,"61-01 | 780,20",87.5%
23:32:51,scan_20260619_233251.jpg,mpbiord tot?,78.8%
23:32:51,scan_20260619_233251.jpg,mpbiord tot?,78.8%
23:32:53,scan_20260619_233253.jpg,mpbiord tot?,78.8%
23:32:55,scan_20260619_233255.jpg,mpbiord tot?,78.8%
23:32:57,scan_20260619_233257.jpg,mpbiord tot?,78.8%
23:32:59,scan_20260619_233259.jpg,mpbiord tot?,78.8%
23:33:31,scan_20260619_233331.jpg,ch hdp thyr vien OpenCV df sen tuc doc,89.6%
23:34:30,scan_20260619_233430.jpg,UNG QUE,89.2%
23:34:55,scan_20260619_233455.jpg,JICH SU NHAN DIEA,94.3%
23:35:33,scan_20260619_233533.jpg,n lae din Bing diu khta | ThAS | Bant_scan_tie = current_timt | (sng_p11) | -img_tk,68.9%
23:36:06,scan_20260619_233606.jpg,UNG QUET,88.7%
23:36:08,scan_20260619_233608.jpg,VUNG QUET,88.2%
23:36:10,scan_20260619_233610.jpg,VUNG QUET,95.7%
23:36:16,scan_20260619_233616.jpg,831.20,97.8%
23:36:20,scan_20260619_233620.jpg,951.20,89.7%
23:36:26,scan_20260619_233626.jpg,931.20,98.2%
23:36:28,scan_20260619_233628.jpg,931.20,97.6%
23:37:43,scan_20260619_233743.jpg,61.01 | 903.38,88.2%
23:37:45,scan_20260619_233745.jpg,6101 | 803.38,97.9%
23:37:47,scan_20260619_233747.jpg,6101 | 903.3,91.7%
23:37:49,scan_20260619_233749.jpg,6101 | 903.38,94.9%
23:37:51,scan_20260619_233751.jpg,61.01 | 803.38,93.8%
23:37:53,scan_20260619_233753.jpg,61.01 | 803.38,90.3%
23:37:55,scan_20260619_233755.jpg,6101 | 803.38,95.9%
23:38:05,scan_20260619_233805.jpg,896,56.5%
23:38:07,scan_20260619_233807.jpg,81366,78.3%
23:38:11,scan_20260619_233811.jpg,3.06,84.9%
23:38:13,scan_20260619_233813.jpg,8306,89.4%
23:38:15,scan_20260619_233815.jpg,3.0 F,80.6%
23:38:25,scan_20260619_233825.jpg,61-F4 | 8306,98.3%
23:38:27,scan_20260619_233827.jpg,8306,99.7%
23:38:29,scan_20260619_233829.jpg,61-F4 | 8306,98.6%
23:38:31,scan_20260619_233831.jpg,61-F4 | 8306,97.8%
23:38:33,scan_20260619_233833.jpg,8306 | 61-F4,97.6%
23:38:35,scan_20260619_233835.jpg,61-F4 | 8306,98.7%
23:38:37,scan_20260619_233837.jpg,61-F4 | 8306,98.9%
23:38:39,scan_20260619_233839.jpg,8306 | 61-F4,96.9%
23:38:41,scan_20260619_233841.jpg,61-F4 | 8306,98.1%
23:38:43,scan_20260619_233843.jpg,8306 | 61-F4,99.0%
23:38:45,scan_20260619_233845.jpg,61F4 | 8306,87.3%
